"State","Year","Variable","Value"
"Arizona","2009","Labor force participation","63.2"
"Arizona","2010","Labor force participation","63.1"
"Arizona","2011","Labor force participation","61.7"
"Arizona","2012","Labor force participation","60.6"
"Arizona","2013","Labor force participation","59.8"
"Arizona","2014","Labor force participation","59.9"
"Arizona","2015","Labor force participation","60.1"
"Arizona","2016","Labor force participation","60.3"
"Arkansas","1990","Labor force participation","63.6"
"Arkansas","1991","Labor force participation","62.6"
"Arkansas","1992","Labor force participation","63.3"
"Arkansas","1993","Labor force participation","63.4"
"Arkansas","1994","Labor force participation","64.6"
"Arkansas","1995","Labor force participation","64.8"
"Arkansas","1996","Labor force participation","64.4"
"Arkansas","1997","Labor force participation","63.3"
"Arkansas","1998","Labor force participation","62.6"
"Arkansas","1999","Labor force participation","62.6"
"Arkansas","2000","Labor force participation","62.1"
"Arkansas","2001","Labor force participation","61.5"
"Arkansas","2002","Labor force participation","61.9"
"Arkansas","2003","Labor force participation","61.5"
"Arkansas","2004","Labor force participation","62.3"
"Arkansas","2005","Labor force participation","63.7"
"Arkansas","2006","Labor force participation","63.7"
"Arkansas","2007","Labor force participation","63.2"
"Arkansas","2008","Labor force participation","62.9"
"Arkansas","2009","Labor force participation","61.7"
"Arkansas","2010","Labor force participation","60.6"
"Arkansas","2011","Labor force participation","60.5"
"Arkansas","2012","Labor force participation","59.3"
"Arkansas","2013","Labor force participation","57.5"
"Arkansas","2014","Labor force participation","57"
"Arkansas","2015","Labor force participation","58"
"Arkansas","2016","Labor force participation","58.1"
"California","1990","Labor force participation","67"
"California","1991","Labor force participation","66.4"
"California","1992","Labor force participation","66.4"
"California","1993","Labor force participation","65.9"
"California","1994","Labor force participation","65.8"
"California","1995","Labor force participation","65.5"
"California","1996","Labor force participation","65.8"
"California","1997","Labor force participation","66.3"
"California","1998","Labor force participation","66.5"
"California","1999","Labor force participation","66.4"
"California","2000","Labor force participation","67.2"
"California","2001","Labor force participation","67.1"
"California","2002","Labor force participation","66.7"
"California","2003","Labor force participation","65.9"
"California","2004","Labor force participation","65.6"
"California","2005","Labor force participation","65.5"
"California","2006","Labor force participation","65.4"
"California","2007","Labor force participation","65.6"
"California","2008","Labor force participation","65.8"
"California","2009","Labor force participation","65.2"
"California","2010","Labor force participation","64.2"
"California","2011","Labor force participation","63.5"
"California","2012","Labor force participation","63.1"
"California","2013","Labor force participation","62.7"
"California","2014","Labor force participation","62.4"
"California","2015","Labor force participation","62.2"
"California","2016","Labor force participation","62.3"
"Colorado","1990","Labor force participation","70.9"
"Colorado","1991","Labor force participation","70.6"
"Colorado","1992","Labor force participation","70.4"
"Colorado","1993","Labor force participation","71.2"
"Colorado","1994","Labor force participation","72.7"
"Colorado","1995","Labor force participation","73.5"
"Colorado","1996","Labor force participation","72.6"
"Colorado","1997","Labor force participation","72.9"
"Colorado","1998","Labor force participation","74.3"
"Colorado","1999","Labor force participation","73.5"
"Colorado","2000","Labor force participation","72.3"
"Colorado","2001","Labor force participation","71.5"
"Colorado","2002","Labor force participation","71.7"
"Colorado","2003","Labor force participation","72"
"Colorado","2004","Labor force participation","72.5"
"Colorado","2005","Labor force participation","72.3"
"Colorado","2006","Labor force participation","72.4"
"Colorado","2007","Labor force participation","72.2"
"Colorado","2008","Labor force participation","72.1"
"Colorado","2009","Labor force participation","70.9"
"Colorado","2010","Labor force participation","70.4"
"Colorado","2011","Labor force participation","69.7"
"Colorado","2012","Labor force participation","69"
"Colorado","2013","Labor force participation","68.3"
"Colorado","2014","Labor force participation","67.8"
"Colorado","2015","Labor force participation","66.9"
"Colorado","2016","Labor force participation","66.9"
"Connecticut","1990","Labor force participation","70.7"
"Connecticut","1991","Labor force participation","71.6"
"Connecticut","1992","Labor force participation","71.4"
"Connecticut","1993","Labor force participation","70.4"
"Connecticut","1994","Labor force participation","68.9"
"Connecticut","1995","Labor force participation","68"
"Connecticut","1996","Labor force participation","68.1"
"Connecticut","1997","Labor force participation","68.3"
"Connecticut","1998","Labor force participation","67.7"
"Connecticut","1999","Labor force participation","67.9"
"Connecticut","2000","Labor force participation","68"
"Connecticut","2001","Labor force participation","67.4"
"Connecticut","2002","Labor force participation","67.4"
"Connecticut","2003","Labor force participation","67.3"
"Connecticut","2004","Labor force participation","66.6"
"Connecticut","2005","Labor force participation","67.1"
"Connecticut","2006","Labor force participation","67.9"
"Connecticut","2007","Labor force participation","68.5"
"Connecticut","2008","Labor force participation","69"
"Connecticut","2009","Labor force participation","68.8"
"Connecticut","2010","Labor force participation","68.3"
"Connecticut","2011","Labor force participation","67.7"
"Connecticut","2012","Labor force participation","66.4"
"Connecticut","2013","Labor force participation","65.4"
"Connecticut","2014","Labor force participation","65.8"
"Connecticut","2015","Labor force participation","65.9"
"Connecticut","2016","Labor force participation","65.9"
"Delaware","1990","Labor force participation","70.3"
"Delaware","1991","Labor force participation","69.4"
"Delaware","1992","Labor force participation","69.5"
"Delaware","1993","Labor force participation","70.1"
"Delaware","1994","Labor force participation","70.6"
"Delaware","1995","Labor force participation","69.5"
"Delaware","1996","Labor force participation","68.7"
"Delaware","1997","Labor force participation","67.6"
"Delaware","1998","Labor force participation","67.9"
"Delaware","1999","Labor force participation","67.6"
"Delaware","2000","Labor force participation","69.3"
"Delaware","2001","Labor force participation","69.7"
"Delaware","2002","Labor force participation","68"
"Delaware","2003","Labor force participation","66.7"
"Delaware","2004","Labor force participation","66.4"
"Delaware","2005","Labor force participation","67"
"Delaware","2006","Labor force participation","67.1"
"Delaware","2007","Labor force participation","66.4"
"Delaware","2008","Labor force participation","65.9"
"Delaware","2009","Labor force participation","63.8"
"Delaware","2010","Labor force participation","62"
"Delaware","2011","Labor force participation","62.3"
"Delaware","2012","Labor force participation","61.9"
"Delaware","2013","Labor force participation","60.7"
"Delaware","2014","Labor force participation","61.4"
"Delaware","2015","Labor force participation","62.5"
"Delaware","2016","Labor force participation","62.5"
"District of Columbia","1990","Labor force participation","67.8"
"District of Columbia","1991","Labor force participation","67"
"District of Columbia","1992","Labor force participation","67"
"District of Columbia","1993","Labor force participation","67.1"
"District of Columbia","1994","Labor force participation","66.9"
"District of Columbia","1995","Labor force participation","65.6"
"District of Columbia","1996","Labor force participation","63.4"
"District of Columbia","1997","Labor force participation","62.7"
"District of Columbia","1998","Labor force participation","64.5"
"District of Columbia","1999","Labor force participation","67"
"District of Columbia","2000","Labor force participation","67.8"
"District of Columbia","2001","Labor force participation","67.4"
"District of Columbia","2002","Labor force participation","66.3"
"District of Columbia","2003","Labor force participation","66.5"
"District of Columbia","2004","Labor force participation","67.3"
"District of Columbia","2005","Labor force participation","67.6"
"District of Columbia","2006","Labor force participation","67.2"
"District of Columbia","2007","Labor force participation","68.1"
"District of Columbia","2008","Labor force participation","69.2"
"District of Columbia","2009","Labor force participation","69.1"
"District of Columbia","2010","Labor force participation","68.8"
"District of Columbia","2011","Labor force participation","67.9"
"District of Columbia","2012","Labor force participation","69.2"
"District of Columbia","2013","Labor force participation","69.6"
"District of Columbia","2014","Labor force participation","69.4"
"District of Columbia","2015","Labor force participation","70.1"
"District of Columbia","2016","Labor force participation","70.1"
"Florida","1990","Labor force participation","63"
"Florida","1991","Labor force participation","62.3"
"Florida","1992","Labor force participation","62.3"
"Florida","1993","Labor force participation","62.1"
"Florida","1994","Labor force participation","62.5"
"Florida","1995","Labor force participation","62.2"
"Florida","1996","Labor force participation","61.9"
"Florida","1997","Labor force participation","62.3"
"Florida","1998","Labor force participation","62.4"
"Florida","1999","Labor force participation","62.3"
"Florida","2000","Labor force participation","62.9"
"Florida","2001","Labor force participation","63.2"
"Florida","2002","Labor force participation","62.4"
"Florida","2003","Labor force participation","62"
"Florida","2004","Labor force participation","62.3"
"Florida","2005","Labor force participation","62.8"
"Florida","2006","Labor force participation","63.5"
"Florida","2007","Labor force participation","63.9"
"Florida","2008","Labor force participation","63.7"
"Florida","2009","Labor force participation","62.3"
"Florida","2010","Labor force participation","61.6"
"Florida","2011","Labor force participation","61"
"Florida","2012","Labor force participation","60.6"
"Florida","2013","Labor force participation","60.2"
"Florida","2014","Labor force participation","60"
"Florida","2015","Labor force participation","59"
"Florida","2016","Labor force participation","59.2"
"Georgia","1990","Labor force participation","67.4"
"Georgia","1991","Labor force participation","65.9"
"Georgia","1992","Labor force participation","66.9"
"Georgia","1993","Labor force participation","66.9"
"Georgia","1994","Labor force participation","67.4"
"Georgia","1995","Labor force participation","67.5"
"Georgia","1996","Labor force participation","68.1"
"Georgia","1997","Labor force participation","69.2"
"Georgia","1998","Labor force participation","69.6"
"Georgia","1999","Labor force participation","69.5"
"Georgia","2000","Labor force participation","69.3"
"Georgia","2001","Labor force participation","68.4"
"Georgia","2002","Labor force participation","68.1"
"Georgia","2003","Labor force participation","68"
"Georgia","2004","Labor force participation","67.6"
"Georgia","2005","Labor force participation","68"
"Georgia","2006","Labor force participation","68.1"
"Georgia","2007","Labor force participation","68.1"
"Georgia","2008","Labor force participation","67.8"
"Georgia","2009","Labor force participation","65.6"
"Georgia","2010","Labor force participation","64.1"
"Georgia","2011","Labor force participation","64.3"
"Georgia","2012","Labor force participation","63.9"
"Georgia","2013","Labor force participation","62.9"
"Georgia","2014","Labor force participation","62.1"
"Georgia","2015","Labor force participation","61.6"
"Georgia","2016","Labor force participation","62.4"
"Hawaii","1990","Labor force participation","68.1"
"Hawaii","1991","Labor force participation","69.2"
"Hawaii","1992","Labor force participation","69.5"
"Hawaii","1993","Labor force participation","68.9"
"Hawaii","1994","Labor force participation","68.1"
"Hawaii","1995","Labor force participation","67.6"
"Hawaii","1996","Labor force participation","67.9"
"Hawaii","1997","Labor force participation","67.6"
"Hawaii","1998","Labor force participation","67.2"
"Hawaii","1999","Labor force participation","67"
"Hawaii","2000","Labor force participation","67.3"
"Hawaii","2001","Labor force participation","67.3"
"Hawaii","2002","Labor force participation","65.7"
"Hawaii","2003","Labor force participation","65.4"
"Hawaii","2004","Labor force participation","64.9"
"Hawaii","2005","Labor force participation","65.9"
"Hawaii","2006","Labor force participation","66.4"
"Hawaii","2007","Labor force participation","65.9"
"Hawaii","2008","Labor force participation","65.6"
"Hawaii","2009","Labor force participation","64.3"
"Hawaii","2010","Labor force participation","62.8"
"Hawaii","2011","Labor force participation","62.6"
"Hawaii","2012","Labor force participation","60.9"
"Hawaii","2013","Labor force participation","60.6"
"Hawaii","2014","Labor force participation","61.6"
"Hawaii","2015","Labor force participation","62"
"Hawaii","2016","Labor force participation","62.7"
"Idaho","1990","Labor force participation","67.6"
"Idaho","1991","Labor force participation","67.6"
"Idaho","1992","Labor force participation","68.5"
"Idaho","1993","Labor force participation","69"
"Idaho","1994","Labor force participation","70.7"
"Idaho","1995","Labor force participation","70.1"
"Idaho","1996","Labor force participation","70.2"
"Idaho","1997","Labor force participation","70.5"
"Idaho","1998","Labor force participation","70.8"
"Idaho","1999","Labor force participation","69.7"
"Idaho","2000","Labor force participation","69.4"
"Idaho","2001","Labor force participation","69.9"
"Idaho","2002","Labor force participation","69.3"
"Idaho","2003","Labor force participation","68.5"
"Idaho","2004","Labor force participation","68.4"
"Idaho","2005","Labor force participation","69.3"
"Idaho","2006","Labor force participation","68.8"
"Idaho","2007","Labor force participation","67.8"
"Idaho","2008","Labor force participation","66.6"
"Idaho","2009","Labor force participation","65.8"
"Idaho","2010","Labor force participation","65.3"
"Idaho","2011","Labor force participation","64.9"
"Idaho","2012","Labor force participation","64.5"
"Idaho","2013","Labor force participation","63.8"
"Idaho","2014","Labor force participation","63.6"
"Idaho","2015","Labor force participation","63.9"
"Idaho","2016","Labor force participation","64"
"Illinois","1990","Labor force participation","68.4"
"Illinois","1991","Labor force participation","67.8"
"Illinois","1992","Labor force participation","68.2"
"Illinois","1993","Labor force participation","68"
"Illinois","1994","Labor force participation","68"
"Illinois","1995","Labor force participation","68.3"
"Illinois","1996","Labor force participation","68.6"
"Illinois","1997","Labor force participation","68.8"
"Illinois","1998","Labor force participation","68.8"
"Illinois","1999","Labor force participation","69.6"
"Illinois","2000","Labor force participation","69.5"
"Illinois","2001","Labor force participation","68.6"
"Illinois","2002","Labor force participation","67.1"
"Illinois","2003","Labor force participation","66.2"
"Illinois","2004","Labor force participation","66.2"
"Illinois","2005","Labor force participation","66.6"
"Illinois","2006","Labor force participation","67.5"
"Illinois","2007","Labor force participation","68.4"
"Illinois","2008","Labor force participation","67.8"
"Illinois","2009","Labor force participation","67"
"Illinois","2010","Labor force participation","66.9"
"Illinois","2011","Labor force participation","66.2"
"Illinois","2012","Labor force participation","65.9"
"Illinois","2013","Labor force participation","65.5"
"Illinois","2014","Labor force participation","64.8"
"Illinois","2015","Labor force participation","64.8"
"Illinois","2016","Labor force participation","65.2"
"Indiana","1990","Labor force participation","67.3"
"Indiana","1991","Labor force participation","65.8"
"Indiana","1992","Labor force participation","66.6"
"Indiana","1993","Labor force participation","67.9"
"Indiana","1994","Labor force participation","69.9"
"Indiana","1995","Labor force participation","70.8"
"Indiana","1996","Labor force participation","69.4"
"Indiana","1997","Labor force participation","69.2"
"Indiana","1998","Labor force participation","68.8"
"Indiana","1999","Labor force participation","68.4"
"Indiana","2000","Labor force participation","68"
"Indiana","2001","Labor force participation","67.8"
"Indiana","2002","Labor force participation","68.1"
"Indiana","2003","Labor force participation","67.9"
"Indiana","2004","Labor force participation","67.2"
"Indiana","2005","Labor force participation","67.4"
"Indiana","2006","Labor force participation","67.5"
"Indiana","2007","Labor force participation","66.3"
"Indiana","2008","Labor force participation","66.3"
"Indiana","2009","Labor force participation","65.1"
"Indiana","2010","Labor force participation","64"
"Indiana","2011","Labor force participation","63.6"
"Indiana","2012","Labor force participation","63"
"Indiana","2013","Labor force participation","63"
"Indiana","2014","Labor force participation","63.4"
"Indiana","2015","Labor force participation","63.9"
"Indiana","2016","Labor force participation","64.7"
"Iowa","1990","Labor force participation","69.5"
"Iowa","1991","Labor force participation","70.1"
"Iowa","1992","Labor force participation","71.2"
"Iowa","1993","Labor force participation","72.8"
"Iowa","1994","Labor force participation","73.1"
"Iowa","1995","Labor force participation","72.9"
"Iowa","1996","Labor force participation","73.4"
"Iowa","1997","Labor force participation","72.7"
"Iowa","1998","Labor force participation","72.1"
"Iowa","1999","Labor force participation","71.8"
"Iowa","2000","Labor force participation","71.2"
"Iowa","2001","Labor force participation","72"
"Iowa","2002","Labor force participation","72.9"
"Iowa","2003","Labor force participation","71.3"
"Iowa","2004","Labor force participation","70.8"
"Iowa","2005","Labor force participation","71.6"
"Iowa","2006","Labor force participation","72.3"
"Iowa","2007","Labor force participation","72"
"Iowa","2008","Labor force participation","72.4"
"Iowa","2009","Labor force participation","72.3"
"Iowa","2010","Labor force participation","71.2"
"Iowa","2011","Labor force participation","70"
"Iowa","2012","Labor force participation","69.2"
"Iowa","2013","Labor force participation","69.8"
"Iowa","2014","Labor force participation","70.4"
"Iowa","2015","Labor force participation","70"
"Iowa","2016","Labor force participation","69.6"
"Kansas","1990","Labor force participation","69.8"
"Kansas","1991","Labor force participation","69.8"
"Kansas","1992","Labor force participation","70.5"
"Kansas","1993","Labor force participation","70.9"
"Kansas","1994","Labor force participation","71"
"Kansas","1995","Labor force participation","70.3"
"Kansas","1996","Labor force participation","70"
"Kansas","1997","Labor force participation","70.6"
"Kansas","1998","Labor force participation","71.7"
"Kansas","1999","Labor force participation","71.6"
"Kansas","2000","Labor force participation","70.3"
"Kansas","2001","Labor force participation","69"
"Kansas","2002","Labor force participation","69.7"
"Kansas","2003","Labor force participation","70.4"
"Kansas","2004","Labor force participation","71.3"
"Kansas","2005","Labor force participation","70.9"
"Kansas","2006","Labor force participation","70.5"
"Kansas","2007","Labor force participation","70.8"
"Kansas","2008","Labor force participation","71"
"Kansas","2009","Labor force participation","71.3"
"Kansas","2010","Labor force participation","69.8"
"Kansas","2011","Labor force participation","69"
"Kansas","2012","Labor force participation","68.3"
"Kansas","2013","Labor force participation","68.1"
"Kansas","2014","Labor force participation","68.1"
"Kansas","2015","Labor force participation","67.6"
"Kansas","2016","Labor force participation","67.1"
"Kentucky","1990","Labor force participation","62.7"
"Kentucky","1991","Labor force participation","62.3"
"Kentucky","1992","Labor force participation","62.3"
"Kentucky","1993","Labor force participation","62.3"
"Kentucky","1994","Labor force participation","62.5"
"Kentucky","1995","Labor force participation","62.8"
"Kentucky","1996","Labor force participation","62.8"
"Kentucky","1997","Labor force participation","63.8"
"Kentucky","1998","Labor force participation","63.7"
"Kentucky","1999","Labor force participation","64"
"Kentucky","2000","Labor force participation","63.7"
"Kentucky","2001","Labor force participation","63"
"Kentucky","2002","Labor force participation","62.1"
"Kentucky","2003","Labor force participation","62.1"
"Kentucky","2004","Labor force participation","61.8"
"Kentucky","2005","Labor force participation","62.4"
"Kentucky","2006","Labor force participation","62.5"
"Kentucky","2007","Labor force participation","62.1"
"Kentucky","2008","Labor force participation","61.4"
"Kentucky","2009","Labor force participation","61.9"
"Kentucky","2010","Labor force participation","61.3"
"Kentucky","2011","Labor force participation","61"
"Kentucky","2012","Labor force participation","60.8"
"Kentucky","2013","Labor force participation","60.4"
"Kentucky","2014","Labor force participation","58.6"
"Kentucky","2015","Labor force participation","57.1"
"Kentucky","2016","Labor force participation","57.6"
"Louisiana","1990","Labor force participation","60.9"
"Louisiana","1991","Labor force participation","61.6"
"Louisiana","1992","Labor force participation","61.6"
"Louisiana","1993","Labor force participation","60.4"
"Louisiana","1994","Labor force participation","61.4"
"Louisiana","1995","Labor force participation","61.4"
"Louisiana","1996","Labor force participation","61.8"
"Louisiana","1997","Labor force participation","62.3"
"Louisiana","1998","Labor force participation","62.8"
"Louisiana","1999","Labor force participation","62.2"
"Louisiana","2000","Labor force participation","61.9"
"Louisiana","2001","Labor force participation","61.5"
"Louisiana","2002","Labor force participation","60.6"
"Louisiana","2003","Labor force participation","60.7"
"Louisiana","2004","Labor force participation","61"
"Louisiana","2005","Labor force participation","62.9"
"Louisiana","2006","Labor force participation","62.2"
"Louisiana","2007","Labor force participation","61.7"
"Louisiana","2008","Labor force participation","62.2"
"Louisiana","2009","Labor force participation","60.9"
"Louisiana","2010","Labor force participation","60.7"
"Louisiana","2011","Labor force participation","59.6"
"Louisiana","2012","Labor force participation","59.4"
"Louisiana","2013","Labor force participation","59.7"
"Louisiana","2014","Labor force participation","60.7"
"Louisiana","2015","Labor force participation","60.5"
"Louisiana","2016","Labor force participation","59.1"
"Maine","1990","Labor force participation","67.4"
"Maine","1991","Labor force participation","68.3"
"Maine","1992","Labor force participation","68.2"
"Maine","1993","Labor force participation","66.3"
"Maine","1994","Labor force participation","65.3"
"Maine","1995","Labor force participation","66.7"
"Maine","1996","Labor force participation","68.2"
"Maine","1997","Labor force participation","67.7"
"Maine","1998","Labor force participation","66.9"
"Maine","1999","Labor force participation","67.9"
"Maine","2000","Labor force participation","68.2"
"Maine","2001","Labor force participation","67.1"
"Maine","2002","Labor force participation","66.5"
"Maine","2003","Labor force participation","66.6"
"Maine","2004","Labor force participation","66.2"
"Maine","2005","Labor force participation","66.8"
"Maine","2006","Labor force participation","66.8"
"Maine","2007","Labor force participation","66.3"
"Maine","2008","Labor force participation","66"
"Maine","2009","Labor force participation","65.4"
"Maine","2010","Labor force participation","64.8"
"Maine","2011","Labor force participation","64.8"
"Maine","2012","Labor force participation","64.9"
"Maine","2013","Labor force participation","65.1"
"Maine","2014","Labor force participation","63.9"
"Maine","2015","Labor force participation","62.5"
"Maine","2016","Labor force participation","63.1"
"Maryland","1990","Labor force participation","70.2"
"Maryland","1991","Labor force participation","70.4"
"Maryland","1992","Labor force participation","70.8"
"Maryland","1993","Labor force participation","70.6"
"Maryland","1994","Labor force participation","70.7"
"Maryland","1995","Labor force participation","70.9"
"Maryland","1996","Labor force participation","71"
"Maryland","1997","Labor force participation","71.1"
"Maryland","1998","Labor force participation","70.5"
"Maryland","1999","Labor force participation","69.9"
"Maryland","2000","Labor force participation","70.2"
"Maryland","2001","Labor force participation","70.1"
"Maryland","2002","Labor force participation","69.9"
"Maryland","2003","Labor force participation","69.3"
"Maryland","2004","Labor force participation","68.7"
"Maryland","2005","Labor force participation","68.7"
"Maryland","2006","Labor force participation","69"
"Maryland","2007","Labor force participation","68.7"
"Maryland","2008","Labor force participation","68.9"
"Maryland","2009","Labor force participation","69"
"Maryland","2010","Labor force participation","68.5"
"Maryland","2011","Labor force participation","68"
"Maryland","2012","Labor force participation","67.8"
"Maryland","2013","Labor force participation","67.3"
"Maryland","2014","Labor force participation","66.8"
"Maryland","2015","Labor force participation","66.9"
"Maryland","2016","Labor force participation","67.1"
"Massachusetts","1990","Labor force participation","68"
"Massachusetts","1991","Labor force participation","68"
"Massachusetts","1992","Labor force participation","67.9"
"Massachusetts","1993","Labor force participation","67.6"
"Massachusetts","1994","Labor force participation","67.9"
"Massachusetts","1995","Labor force participation","67.7"
"Massachusetts","1996","Labor force participation","67.8"
"Massachusetts","1997","Labor force participation","68.6"
"Massachusetts","1998","Labor force participation","68.8"
"Massachusetts","1999","Labor force participation","68.5"
"Massachusetts","2000","Labor force participation","67.6"
"Massachusetts","2001","Labor force participation","68"
"Massachusetts","2002","Labor force participation","68.5"
"Massachusetts","2003","Labor force participation","68.1"
"Massachusetts","2004","Labor force participation","67.3"
"Massachusetts","2005","Labor force participation","66.8"
"Massachusetts","2006","Labor force participation","67"
"Massachusetts","2007","Labor force participation","66.7"
"Massachusetts","2008","Labor force participation","66.6"
"Massachusetts","2009","Labor force participation","66.3"
"Massachusetts","2010","Labor force participation","66.3"
"Massachusetts","2011","Labor force participation","65.5"
"Massachusetts","2012","Labor force participation","65.2"
"Massachusetts","2013","Labor force participation","65"
"Massachusetts","2014","Labor force participation","65.2"
"Massachusetts","2015","Labor force participation","65.2"
"Massachusetts","2016","Labor force participation","64.9"
"Michigan","1990","Labor force participation","65.7"
"Michigan","1991","Labor force participation","65"
"Michigan","1992","Labor force participation","65.6"
"Michigan","1993","Labor force participation","66.1"
"Michigan","1994","Labor force participation","66.5"
"Michigan","1995","Labor force participation","66"
"Michigan","1996","Labor force participation","66.3"
"Michigan","1997","Labor force participation","66.9"
"Michigan","1998","Labor force participation","67.5"
"Michigan","1999","Labor force participation","68.5"
"Michigan","2000","Labor force participation","68.7"
"Michigan","2001","Labor force participation","67.6"
"Michigan","2002","Labor force participation","65.8"
"Michigan","2003","Labor force participation","65.6"
"Michigan","2004","Labor force participation","65.7"
"Michigan","2005","Labor force participation","65.7"
"Michigan","2006","Labor force participation","65.4"
"Michigan","2007","Labor force participation","64.4"
"Michigan","2008","Labor force participation","63.3"
"Michigan","2009","Labor force participation","63.1"
"Michigan","2010","Labor force participation","62"
"Michigan","2011","Labor force participation","60.5"
"Michigan","2012","Labor force participation","60"
"Michigan","2013","Labor force participation","60.5"
"Michigan","2014","Labor force participation","60.6"
"Michigan","2015","Labor force participation","60.5"
"Michigan","2016","Labor force participation","61.3"
"Minnesota","1990","Labor force participation","73.3"
"Minnesota","1991","Labor force participation","73.4"
"Minnesota","1992","Labor force participation","73.8"
"Minnesota","1993","Labor force participation","74.2"
"Minnesota","1994","Labor force participation","74.3"
"Minnesota","1995","Labor force participation","74.6"
"Minnesota","1996","Labor force participation","74.9"
"Minnesota","1997","Labor force participation","74.7"
"Minnesota","1998","Labor force participation","74.8"
"Minnesota","1999","Labor force participation","74.9"
"Minnesota","2000","Labor force participation","75.4"
"Minnesota","2001","Labor force participation","75.3"
"Minnesota","2002","Labor force participation","74.8"
"Minnesota","2003","Labor force participation","74.5"
"Minnesota","2004","Labor force participation","74"
"Minnesota","2005","Labor force participation","73.3"
"Minnesota","2006","Labor force participation","72.7"
"Minnesota","2007","Labor force participation","72.4"
"Minnesota","2008","Labor force participation","72.2"
"Minnesota","2009","Labor force participation","72"
"Minnesota","2010","Labor force participation","71.4"
"Minnesota","2011","Labor force participation","71"
"Minnesota","2012","Labor force participation","70.4"
"Minnesota","2013","Labor force participation","70"
"Minnesota","2014","Labor force participation","69.6"
"Minnesota","2015","Labor force participation","69.5"
"Minnesota","2016","Labor force participation","69.5"
"Mississippi","1990","Labor force participation","62.5"
"Mississippi","1991","Labor force participation","61.8"
"Mississippi","1992","Labor force participation","61.7"
"Mississippi","1993","Labor force participation","62.3"
"Mississippi","1994","Labor force participation","63.2"
"Mississippi","1995","Labor force participation","62.9"
"Mississippi","1996","Labor force participation","62.4"
"Mississippi","1997","Labor force participation","62.2"
"Mississippi","1998","Labor force participation","61.7"
"Mississippi","1999","Labor force participation","61.7"
"Mississippi","2000","Labor force participation","62.9"
"Mississippi","2001","Labor force participation","61.5"
"Mississippi","2002","Labor force participation","60.9"
"Mississippi","2003","Labor force participation","61.4"
"Mississippi","2004","Labor force participation","61.5"
"Mississippi","2005","Labor force participation","61.5"
